review,question,id,answers
"I've put off buying the STII DVD for some time because I was waiting for a special edition.  It was worth the wait.  And for those of you who couldn't wait, it's worth a double dip.  This is an excellent edition of Star Trek II.First, the print looks beautiful.  The previous DVD had a terrible transfer (I never knew that space was green, for example).  This looks great.  The picture is clear, clean and the colors are perfect.  The sound is excellent, even on a simple stereo TV.The extras are good but not oustanding.  The director's commentary is entertaining.  The 2nd disk leaves a little to be desired (like the ST1 Director's cut) but is worth your time.The additions to the movie for the director's cut are mostly minor and add very little.  There are a few alternate takes of scenes which are slightly inferior to the original, but only if, like me, you know the dialogue by heart, even to the cadence of the actor's voices (yes, I know, I know).  There is also a little bit of extra dialogue in some scenes.  Nothign to write home about, but interesting nonetheless.Of course, the main reason I give this DVD 5 stars is the movie, which many feel is the best of the series.  It is, as the director envisioned, Horatio Hornblower in Space -- complete with exciting battles and compelling characters.  While the movie is a sequel to an episode of the classic TV series, you will not be lost if you haven't seen it.  I hadn't when I first saw Kahn in 1982 and I had no problem following the plot.In short, the extras and new scenes would not make this DVD worth your money.  But the dramatic improvement in image and sound quality demands you purchase this version if you love Wrath of Kahn as much as I do. ANSWERNOTFOUND",What is commentary?,167,"{'text': ['commentary is entertaining'], 'answer_start': [538]}"
"Haven't thought of pirates movie would be able make it back again in the modern days, especially when we are talking about we are in the age of Si-fi and fantasy movies that rely heaps on state-of-the-arts computer special effects. Nontheless Pirates of the Caribbean made a good return of the genre to the audience.Frankly, judging from the dodgy and lengthy title, there was not much hope about it being either entertaining or creative. However, with Johnny Depp, Geoffrey Rush and Orlando Bloom as the leading cast, the attraction of the movie rocketed immediately. Johnny Depp, playing the weird ex-pirate head who got dumped on an isolated island in the middle of nowhere provided a lot of essential credits to the movie. His performance is stunning and spectacular and managed to turn this old jerk into a half-weighted hero. His gestures and all the small movements he created for the character did add a lot of spice to make the character jump out of the script. Johnny Depp once again proved that he could transform any roles into a real character that could last in people's mind.Geoffrey Rush as the cursed power and wealth hungry pirate provided a lot of dynamics to the movie, especially when he was working with Johnny Depp and Keira Knightley. The whole movement of the story just came in and pushed the plot forward. Although working will strong actors like Johnny Depp and Geoffrey Rush, the two young cast members Orlando Bloom and Keira Knightley were not worse off in performance. They showed great integrity in their characters and were able to match with their strong counterparts perfectly. Orlando Bloom still needs time to shake his Legolas image off, but everything needs to have a start and it seems that this is a good start for him. Keira Knightley showed huge difference when compared to her role in Bend it Like Beckam. Both of them should have good chance in the acting career should they be able to choose their roles carefully in the future.The special effects of the movie concentrated on the transformation of the cursed sailor crew at different occasions and they were well done. It provides a creepy feeling in certain scenes and at other scenes created a haunting effect for the audience.The story itself is a bit simple but in all is a very entertainment movie for just sit back and relax. ANSWERNOTFOUND",How did you like the line?,703,"{'text': ['Frankly'], 'answer_start': [316]}"
"I was hesitant about this movie for one reason. From the previews I saw I figured it depicted gay men in a negative light by getting married and eventually hurting the women and children they belonged to. But I was wrong.This movie isn't about that. It is about love, plain and simple.There aren't the descriptives here to express the ability this movie has to move you.The acting is stellar from all. The story is excellent and carried out very well on screen. The cinematography is breathtaking at times and the music truly reflects the mood.The basic theme of this movie is that love will strike in it's own time, and with whomever it deems is 'the one'. The love that struck the two main characters here was taboo and they do the best they can to quell the fire within them. When the realization hits that it's bigger than the mountain they met on they meet throughout the rest of their lives to satiate the need they have for each other.The angst, confusion, identity issues and all the other problems that would go with a 'taboo' love are what carry this movie.An unlikely forerunner in the award category, this movie is destined to be a classic. It has all the right elements.If you have been hesitant to watch this movie because of the theme do yourself a favor.... rent it and watch it. It has a lot to say about life and love. ANSWERNOTFOUND",How is the scenery?,310,"{'text': ['The cinematography is breathtaking at times'], 'answer_start': [462]}"
"I try to avoid sad movies but had no idea this one fit in that category.  However, the story and acting were both superb. ANSWERNOTFOUND",How is this story?,720,"{'text': ['the story and acting were both superb'], 'answer_start': [83]}"
"Not having been a fan of Johnny Cash my entire life, I didn't have any of his life details to compare while watching the movie.  I had no idea about his relationship with June Carter, or really any of his hit songs.  That being said, I enjoyed the movie quite a bit.  The portrait that Joaquin Phoenix paints of the classic singer is a troubled man who battled some of the usual demons that people in the spotlight often fight.  Booze, drugs, cheating on the spouse, and losing touch with the loved ones in the family, all of these plague Cash in the film.  Most of these things, like always are self imposed, and should be avoided.  It's interesting how much these things affect the famous in the world.Anyway, the performances are solid, especially Reese Witherspoon, who shines in her role as June Carter.  She spends most of her life in the limelight, working with Cash for lots of her adult life and eventually marrying him.  The film provides us information about their life together once it ends with her agreeing to marry him.  Witherspoon won the best actress Oscar for the role, well deserved.  She is always watchable in her movies and this was no exception.In short, I liked the film.  Not a movie I plan on watching repeatedly, but it was worth the time to see.  I recommend it highly, even if like me, you know little or nothing about the singer.  This film is worth the time invested. ANSWERNOTFOUND",Does this film its good for the time expend?,955,"{'text': ['I recommend it highly'], 'answer_start': [1276]}"
"this hauntingly beautiful movie, is a great piece of motion picture history. I love sci-fi and just for that alone i like the movie, but the story was amazing, love the twist halfway through the movie. As I said the cinematography and score are stunning especially in BLURAY, so don't buy this if not in BLURAY. The extra features of the making of this film are very interesting and surprising. ANSWERNOTFOUND",How is the quality of the movie?,790,"{'text': ['this hauntingly beautiful movie'], 'answer_start': [0]}"
"I love this movie, total nonsense.  Absolutely impossible of course, who cares?  The cast is outstanding  Freeman, Mirren are totally perfect.  Willis is just exactly what he should be in this almost parody of his Die Hard stuff, totally great, AND Malkovich is absolutely completely and just plain Wow in his role.  He steals the movie completely, nobody better.  The movie is a total romp, just plain fun. ANSWERNOTFOUND",Why is the cast phenomenal?,338,"{'text': ['The cast is outstanding'], 'answer_start': [81]}"
"This is a well done movie, and it honors the original Wizard of Oz by beginning in Black and White. James Franco does overact a little, but that is his character... so well done.I was a little confused by the digital copy... since I think it is a download, not a disc... but I typically don't use those anyway. If they are like the original digital copies, they last one year ( can you say ripoff?) and it is more of a lost leader like grocery stores used to used and still do in some cases. Sure, there is piracy out there, but I'm guessing if you pirate, you've already figured out the way around this... so only the regular consumer suffers. and now back to the movie:It is filmed for 3D effects, but the colors are great, Mila Kunis is beautiful through most of the movie, Zach Braff continues to be hilarious, and it is very enjoyable. The flying monkeys are more aggressive than in the original, but again, maybe that is what today's audience is needing.They reminded me of the apes from the remake of Planet of the apes.anyway, it is safe for kids of a certain age, worth seeing, and worth owning. ANSWERNOTFOUND",How is the color?,2394,"{'text': ['the colors are great'], 'answer_start': [704]}"
"This is a very well written and acted TV series. The Wild West in space, the stories are intriguing and the acting engaging. Just the right blend of quirky, clever, intelligent and humorous. Highly reocmmended. ANSWERNOTFOUND",How is the story?,321,"{'text': ['the stories are intriguing and the acting engaging Just the right blend of quirky , clever , intelligent and humorous'], 'answer_start': [73]}"
"Pros: 1. Animation: really superb. Some of the locales in the movie (eg. Rampunzel's tower, the Castle and surrounding town)will take your breath away.2. Humor: Humor for the most part is a success. A lot of the humor is very cliche -- you've seen it all before in Disney features.There are several jokes that are work, however, and they are quite memorable.Cons: 1. Pacing: story really drags in a lot of places, and this ultimately the downfall of the movie. Every time the lead character would break into YETANOTHER musical, I would cringe. Story would have been much served being a fast-paced action adventure with a lot of humor interspersed (like anAladdin).2. Weak forgettable characters: I like the lead character of Rampunzel, and the villaness. The other characters were totally forgettable -- thevarious sidekicks (eg. the iguana and the horse Maximus), inserted for comic relief, were actually for the most part annoying rather thanhumorous.Conclusion: worth a single viewing to see the amazing animation, but its ultimately not a keeper -- rent it dont buy it. ANSWERNOTFOUND",What do you think about story?,385,"{'text': ['worth a single viewing to see the amazing animation , but its ultimately not a keeper -- rent it do nt buy it'], 'answer_start': [965]}"
"All the films, all the TV specials, some parodies, behind the scenes goodies, incidental info... it's all here. The picture is clean and the sound is perfect. They've also changed the original animal bellow the precedes the arrival of Ben Kenobi in Ep 4 with something far more ominous instead of the whistle like bird call they used to replace the original growl which was just fine in the first place. The packaging is a little much to futz with. I'm concerned that one of these days I'll accidentally tear one of the pages holding the discs in place. It's a very tight fit. ANSWERNOTFOUND",How is the picture?,84,"{'text': ['The picture is clean and the sound is perfect'], 'answer_start': [112]}"
"I fell asleep on this film a few years ago when I started it too late the night before it was due back at the video store.  It's not what I expected of a so-called ""cult"" film, or even a sci-fi or troubled-teenager genre flick.  Now, having some more time and patience, I gave this Director's Cut the careful attention it deserves, and the rewards are considerable.  The 26-year-old Kelly shoots movies like a pro if not an art movie director.  None of the ""shock editing"" that we've become so accustomed and desensitized to.  Instead, he favors long takes, slow pacing, and some of the most fluid camera movement in recent memory.  Moreover, he has a true artist's eye for shot composition, using the 2.5:1 anamorphic lens to maximum aesthetic and narrative effect in practically every frame.All the same, I've just ordered the earlier, shorter version to see if some of the apparent flaws I noticed in the Director's Cut are lessened.  For one, some of the scenes are overly formulaic and obvious--both in the scripting and filming.  The hypocritical, self-righteous characters are played quite loudly, bordering on flat caricature.  Moreover, Kelly pulls gratuitous tricks like mocking them with ""fast action"" shooting (whereas the youthful romantic hero and heroine, of course, are shot in slow motion).  Drew Barrymore seems to occupy unnecessary screen time toward the end of the film, tilting this POV film to her situation rather than Darko's.  Also, all the time-travel nonsense, which I understand has been exaggerated in both this version and on a Johnny Darko website, could be reduced to the betterment of the film, imo.  Still, the script is light years ahead of juvenilia time-wasters like Dazed and Confused (unless you're a teenager).Although Kelly talks about the film as Reagan-era social satire (an easy target, since the 80s were a rerun of the repressive 1950s), the movie is less about an historical period than about other movies: in fact, it's a collection of mirrors reflecting other movies.  Several shots of Darko recall Norman Bates, when we learn about his dual identity at the end of Psycho.  Darko's alter ego, Frank, recalls Jeffrey Beaumont's dark twin, Frank (Dennis Hopper), in Lynch's Blue Velvet.  The playing off of psychological vs. chronological time, challenging the viewer to decide which temporal dimension he is currently viewing, reprises Lynne's remarkable film, ""Jacob's Ladder.""  And the time-travel theme owes less to ""Back to the Future"" than ""serious"" science fiction movies like ""12 Monkeys"" and the 30-minute influential French film classic by Chris Marker: ""La Jetee.""But most strikingly, the film echoes the central theme of Burgess/Kubrick's ""Clockwork Orange,"" where Alex and his Droogs talk Nadsat and commit rape and violence to assert their free choice and humanity in a world that threatens to ""condition"" them, transforming them into deterministic machines.  Two key moments in Darko: the intercut chapter with the quote, ""The Manipulated Living will do anything to save themselves from oblivion,"" and Darko's conversation with his science teacher, who explains to him that if he were able to know his future, he would have a choice to accept or avoid it, which means that destiny would come to an end.This is a film that celebrates choice--not just its characters' but the viewers'.  Moviegoers need not subject themselves to mindless surrogate experiences in virtual reality, pretending that loneliness and fear are more imagined than real. The attentive viewer is likely to feel that the disturbed teen protagonist has made some significant choices which, however risky or even deadly, have prepared him to face the difficult circumstances of life that none of us can control.Finally, this is a director who definitely knows Catcher in the Rye, infusing his main character with so much of Holden's spirit (obsession with sex and death, impatience with phoniness and pretense, adoption of grandiose thinking and a savior complex) that Donny Darko becomes the ""everychild"" in each of us, more recognizable than we may be inclined to admit. ANSWERNOTFOUND",How is film?,1378,"{'text': ['remarkable film'], 'answer_start': [2393]}"
"okay I like a lot of Movies but this Movie Halloween, along with The Human Centipede are the worst ones ever made. This film was made in 1978 and I thought it would be a nice scary film with plenty of scares and gore boy was i wrong. I rented this movie to see if it was worth a buy no not worth it to me comeon Michael Myers scary no way. He looks like some weirdo who wears a plastic mask.The acting in this film blew the charecters were eh and I am like this film is no good.I wont buy this film cause it is a bomb and not in a good way. If you want to see a scary movie with a scarier killer in it watch A Nightmare on Elm Street with Freddy Kreuger in it or the Friday the 13th films with Jason Voorhees in it.I mean The Texas Chainsaw Massacre movie from 1974 was way better then this pile of utter trash the only thing i liked about this film was when it ended. i give this lousy film 1 star if i could give it 0 stars I would so not worth it. THis looks like a PG13 film other then the nudity of course. This film isnt scary doesn't give Horror movie lovers like me the gore and the scares that we want the only thing this film has going for it is the nude scene with the woman. Thats not saying much. This film is way way overrated for those people that gave this film 3 stars and up must not like gory horror films with a good story o well to each his or her own I suppose. ANSWERNOTFOUND",Can you tell about this movie?,458,"{'text': ['are the worst ones ever made'], 'answer_start': [85]}"
"One of the MOST anticipated Blu Ray release of all time is finally here.  We've all seen it numerous times and every media outlet imaginable has either quoted it or used it as a hook for our attention.  Why does it get our attention?  Because it is one of those films that has an in depth fantastic world with clear defined lines of good and evil, backed with a powerful plot filled with likable and detestable characters.  Most of all it's so much fun to watch, because no matter what age you are it brings the kid inside of you alive.Alive is what you will feel when viewing these Blu Rays.  These Blu Rays are by far the most impressive I have ever seen of an older movie restored, many times unbelievable was the word that came to mind.  Picture quality on all three films is crisp and clear, the best they have ever looked and then some.  The light sabres glow with intensity, Darth Vaders helmet shines with mirror like blackness and certain scene details come to life for the first time.  Several times I found myself looking at the characters detailed surroundings instead of the character themselves.  The picture quality on all three films has been so thoroughly examined there are not any moments where you wish they could have done more in any particular scene.  The picture quality is simply amazing and your eyes will be glued to the screen with the dynamic DTS HD Master Audio mix that draws you in with its dynamic use of the sound field.The picture quality is amazing, but the DTS HD Master Audio soundtrack is in one word AWESOME. If ever you wanted to be immersed into the Star Wars universe this soundtrack will leave you awestruck. Star Destroyers rumble the scene as they pass over, Tie fighters scream from the rears to the fronts as they fly over and fight scenes come alive like an actual war is taking place in your media room.  AT-ATs, Speeder Bikes, Darth Vader's voice...I could go on and on about this unbelievable soundtrack.  Sound is so important to bring a movie to life and Lucas spared nothing on this soundtrack to give these classics a new dynamic feel.Overall, a MUST buy for any Star Wars fan.  These films have never looked or sounded better then they do in this aweinspiring release.  I am going to go out on a limb and say this is by far the best Blu Ray release of the year.  Do not fall into what so many have already done and not buy because of additions to the ""original"" theatrical version.  These additions are minor and do nothing to the overall enjoyment you will feel when watching these films in HD.  I encourage everyone to do what I did and buy these films and watch them for the first time, you will be amazed at all that HD has done for these films.  Amazon has an incredible price, highly recommended. ANSWERNOTFOUND",What is your opinion of the movie?,1944,"{'text': ['The picture quality is amazing'], 'answer_start': [1454]}"
"Mystic River, brings to the screen the story of three old friends who reunite years after a traumatic experience made them drift apart.  The circumstances under which they meet again are not the best and their old friendship will soon be put to the test...To a certain extent Mystic River bring to mind Sleepers (also starring Kevin Bacon, but in a much different role).Sean Penn, Kevin Bacon, Tim Robbins, Laurence Fishburn, and the rest of the cast have truly outdone themselves with their performances, which are extraordinary to say the least!  The actors give it their 100% and it really shows!The only setback is in relation to Tom Guiry who as Brendan Harris is not really convincing in his role as Katie's boyfriend (He does not seem to be ""all man"" if you catch my drift...).Aside from that, the plot and the setting, are both excellent!  In addition, it is one of those films that gets you and keeps you thinking long after it's over.Overall, Mystic River is a movie guaranteed to provide an evening's entertainment. ANSWERNOTFOUND",How is problem?,1587,"{'text': ['Mystic'], 'answer_start': [0]}"
"Firefly is a great show that I knew nothing about before I saw it.  I remembered watching this show and saying to myself wow this show is great how come its not a bigger hit.  Firefly comes from the mind of Joss Whedon, who is the mastermind behind Marvels &#34;The Avengers&#34;, Dollhouse, and Buffy the Vampire Slayer. The show features Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin, and Adam Baldwin.  The series is set in the year 2517, after the arrival of humans in a new star system, and follows the adventures of the renegade crew of Serenity, a &#34;Firefly-class&#34; spaceship. The ensemble cast portrays the nine characters who live on Serenity.  Whedon pitched the show as &#34;nine people looking into the blackness of space and seeing nine different things&#34;.The show explores the lives of a group of people who fought on the losing side of a civil war and others who now make a living on the outskirts of society, as part of the pioneer culture that exists on the fringes of their star system. In this future, the only two surviving superpowers, the United States and China, fused to form the central federal government, called the Alliance, resulting in the fusion of the two cultures.  The show has a great cast and writing is also great, which is to be expected from a Joss Whedon movie. The visual effect are first class and the show in my opinion is great from beginning to end. Once you see this show you will be a big fan and want to watch all of Joss's other projects. I enjoyed this show and I would definitely recommend it.Thank you for reading my review. ANSWERNOTFOUND",How you would describe this episode edition?,398,"{'text': ['Firefly is a great show'], 'answer_start': [0]}"
"The 50th Anniversary Edition of TO KILL A MOCKINGBIRD is a fantastic 2-disc set that gives this American classic the treatment it deserves.  The film itself is crystal clear, the sound (and score) are magnificent, and the bonus features included in this package alone are worth the price of admission.  The making-of documentary, Fearful Symmetry, is particularly well done.TO KILL A MOCKINGBIRD chronicles a small town rocked by a racially-charged court case as seen through the eyes of an innocent young girl.  This movie is superbly written and acted, there doesn't appear to be a wasted frame in the entire running time.  The story here (much like its source material) is heartwarming, heartbreaking, tear-jerking, and laugh-out-loud funny.  This movie has received a lot of attention and hype over its year, and it is all well-earned.  I'm glad to say that this film has stood the test of time.If you have not seen TO KILL A MOCKINGBIRD before, this is definitely worth a purchase.  If you have seen this movie before, but outside of this 50th Anniversary Edition, it's still worth a buy for the fantastic quality and bonus features. ANSWERNOTFOUND",Why is history eternal?,1137,"{'text': ['The story here ( much like its source material )'], 'answer_start': [626]}"
"I agree with some other reviewers--for a blu-ray edition the picture is awful. I watched the upconverted standard DVD edition on the same blu-ray equipment and LCD TV and the picture is as good if not better. My question is, what is the reference point for the 300+ people who gave this DVD a 5-star rating? ANSWERNOTFOUND",What about the picture quality?,332,"{'text': ['the picture is awful'], 'answer_start': [57]}"
"This week I watched both this Swedish Blu-Ray and saw the just-released American remake in the theater, and I have read the first two books.I rate both versions at five stars--great films. There is 5.1 Dolby Digital in Swedish with the option of dubbed English dialog. I watched the Swedish language version with English subtitles, although the English dubbing did seem pretty good. The quality of sound and picture on the Blu-Ray is excellent.This Swedish film is closer to the book in detail and in dramatic portrayal. The scenery seemed more stark and cold, and the murders more appalling. Lizbeth's propensity for violence is better portrayed, and as the film progresses we get better insight into why Lizbeth is socially dysfunctional than in the American version. The reporter, Blomkvist, spends three months in jail in the Swedish version, but no jail time in the American version, and his humiliation is therefore all the greater.Noomi Repaces's Lizbeth is harsher than that of Rooney Mara in the American version and therefore more effective. Rooney Mara's amazing beauty inevitably softens her character in the American version even though her acting is excellent. The fate of the dead niece, Harriet, is far closer to the book in the Swedish version and has more dramatic impact.Noomi Repaces's dragon tattoo covers her back and is truly formidable. After all, the tattoo is the point of the title.There are many other gratuitous discrepancies in the American version that detract from the drama that made Larsson's book so powerful.Blomquist is portrayed as the same sharp researcher and unaware babe-magnet in both films. Michael Nyqvist and Daniel Craig both give excellent performances--true to Larsson's character--with Craig having the edge.If you are comfortable with subtitles, then this Swedish version might be your best choice, especially if you have already read the novel. If you prefer a more American style movie with well-known, somewhat better looking, Hollywood actors; especially if you have not read the book; then the American version may be your best choice. Or, as I did, watch the Swedish recording and then the American movie in the theater. ANSWERNOTFOUND",How is the film?,408,"{'text': ['is closer to the book in detail and in dramatic portrayal'], 'answer_start': [462]}"
"""King Kong"" is brilliant! The directing by Peter Jackson is brilliant and one of his best films since ""The Lord Of The Rings"" series and outside of ""The Lord Of The Rings"" series! One of the best films of the year! Most of the crew that Jackson worked with for ""The Lord Of The Rings"" series returns, as well. The screenplay by Jackson, Fran Walsh, & Phillippa Boyens (based on the story by Merian C. Cooper & Edgar Wallace) is brilliant! Naomi Watts (Ann Darrow), Jack Black (Carl Denham), and Adrian Brody (Jack Driscoll) lead an impressive cast in this very impressive film! Andy Serkis brings Kong impressively to life (he also plays Lumpy the Cook)! The music by James Newton Howard is impressive and brilliant! The cinematography by Andrew Lesnie is impressively brilliant! The film editing by Jamie Selkirk is excellent! The casting by Victoria Burrows, Daniel Hubbard, John Hubbard, & Liz Mullane is excellent! The production design by Grant Major is brilliantly impressive! The art direction by Simon Bright & Dan Hennah is brilliant and very impressive! The set decoration by Dan Hennah is impressive and very brilliant! The costume design by Terry Ryan is very brilliant! The make-up effects are very impressive! The Oscar-Winning visual effects by WETA Digital are very brilliant and very impressive! This is going to be an impressive Oscar contender for next year! Jackson has impressively remade ""King Kong"" (2005) with style and poise! This is one of the finest films of the year! Also won Oscars for Best Sound & Sound Editing. ANSWERNOTFOUND",How was the scene?,14,"{'text': ['The Lord Of The Rings'], 'answer_start': [149]}"
"Before I go off reviewing this cult classic, I'll share my personal history with this movie, which dates back nearly eleven years ago.I remember finishing up the forth grade back in June of 1998 and my brother rented Event Horizon from the local video store at the time and I watched it with him.  When it was over, I was scared s***less the whole summer break.  Oddly enough, I kept watching the movie throughout the summer, despite the fact that it was the most terrifying movie I've ever seen (and remains so to this day).  I remember everyday from that summer, constantly fearing that a deranged Dr. Weir would break into my room and ritualistically end my existence.  Even worse, I vividly remember my brother reenacting the infamous ""video transmission"" scene by holding golf balls covered in fake blood (to look like eyeballs) and covered himself with fake blood as he was saying ""Liberate tutame ex inferis.""  Summer break eventually ended and with school starting up, I was finally able to dispose any memories I had of the movie.  Sam Neill advertised for MCI at the time and even though I knew it wasn't really Dr. Weir, I still freaked out at the sight of those commercials.  I would stay away from this movie for about seven years.  In March of 2005, me and my friends held a ""movie night"" at my best friend's place over the weekend and I quickly saw Event Horizon on the video store shelf and I told my friends ""You want to see a really messed up movie?  Watch this.""  We rented Event Horizon and all of the deliciously evil and terrifying memories flooded back to my head that night; I couldn't sleep for days.PLOT:For those of you new to Event Horizon, here's the lowdown.  In the year 2040, a space ship called the Event Horizon was launched to reach Proxima Centauri (Earth's nearest star) by using an artificial dimensional gateway to create a black hole, bridging the two points in space to drastically reduce journey time.  When the ship goes about on its mission, it disappears without a trace.  It's currently 2047 and the Event Horizon has returned off the orbit of Neptune.  The Lewis and Clark rescue shuttle is dispatched to investigate and salvage the ship.  As the Lewis and Clark docks with the Event Horizon and the rescue crew probes the ship, things start to go awry.SETTING:To me, this is the perfectly executed sci-fi/horror hybrid movie.  Why?  Event Horizon has many things going for it, but one of the best aspects is the perfect setting.  Think about it; not only does the Event Horizon have a creepy gothic interior, the ship itself is surrounded by stormy conditions in space, you're stranded because your boarding ship was heavily damaged, the Event Horizon's communication functions are shot (not able to contact for help), and the only transmission you have of the ship's original crew truly sounds like screams out of hell.  If you were aboard the Event Horizon, wouldn't you be scared?  I sure would!!CHARACTERS:The actors do an excellent job with their roles; particularly Lawrence Fishburne as Captain Miller, Sam Neill as Dr. Weir, Kathleen Quinlan as Lt. Peters, and Jason Isaacs as D.J.  To me, Dr. Weir is one of the best and most evil villains I've ever seen in film; so much so, I had to namedrop him on my review of Morbid Angel's ""Altars of Madness"" to describe how evil that album is.  Dr. Weir isn't some one-dimensional character that's evil and nothing else; he was originally a man of scientific ambition with his Event Horizon project but his work would cause his wife, Claire, to commit suicide from loneliness.  This would haunt Weir and when he boards his long lost creation, it would mentally torment him with his sins and drive him into a state of evil madness.  Even prior to Weir's transformation as the antagonist, you can tell there was something messed up about him when he's aboard the Lewis and Clark, playing an intercepted transmission from the Event Horizon with a straight face, despite it sounding so hellish.  Lt. Peters and Captain Miller also have interesting back stories involving Peters having to abandon her crippled son and Miller having to abandon one of his crew members on a burning space ship several years prior.  Along with Weir's sins, the Event Horizon would use the sins of Miller and Peters to torment them.  Rescue tech Cooper (Richard T. Jones) does a good job at providing a little humor in the movie to keep the audience from spiraling into states of madness; I particularly like him telling X.O. Starck as he was giving crew members coffee ""Want something hot and black inside you?""SCARE TACTICS AND OTHER NASTY STUFF:Unlike most horror movies that use clich&eacute; settings and scare tactics to unnerve the audience, this uses much more original ideas to scare movie fans.  In Event Horizon, there's no boogeyman, no hideous aliens, and not even any physical life forms on it!!  The thing that makes this movie so scary is that it perfectly utilizes the whole ""fear of the unknown"" concept as no one investigating the ship knows what they're dealing with.  Paul Anderson's interpretation of hell is also more original, making it more unnerving.  The clich&eacute; fire and brimstone imagery has been replaced with the ship's gravity drive deck filled with some of the most horrendous looking corpses ever put on film.  This brings me to my next point.  There's lots of gore in this movie, but unlike mediocre flicks like Hostel and The Hills Have Eyes, the gore in this movie is used to enhance the dark, unnerving atmosphere of the movie rather than relying solely on it.  In other words, the violence in this movie won't bore you.  The violence in this movie REALLY is disturbing; the scene where Starck and Peters unscramble the video in the ship's computer showing the original crew killing and eating each other still freaks me out to this day.  The scene where Dr. Weir attacks D.J. on the medical deck is really appalling as you can see Dr. Weir's bloody, empty eye sockets and the way he kills D.J. is guaranteed to freak out movie goers.  As Weir and Miller duke it out toward the end, Weir forces Miller to see Hell and trust me, it really is terrifying.THEMES AND ESOTERIC THINGS:Religion is a big theme in Event Horizon, as you can already tell with the constant mention of Hell and the use of Latin in some scenes.  The concept of creating artifical black holes to reduce time in space travel is really neat; I just hope I'm dead before technology advances that far!!  Something that I really enjoyed was when D.J.'s carcass is shown in the medical deck, there's lots of esoteric occult symbols painted everywhere.  I'm really glad that Anderson didn't use something typical like the pentagram and inverted cross to represent Hell, and the mysterious nature of these creepy symbols adds to the terror in this movie.  These symbols would also appear on Dr. Weir's body when he comes back as some sort of undead creature towards the end of the movie.  Everything in Event Horizon isn't tied up in a neat little bow, there's several little things that aren't fully explained.  I normally don't like it when movies do this as it usually comes off as laziness, but it works for Event Horizon because they do it in a manner that satisfies the viewer at the end of the movie but makes them wonder about other things.  For one, you never really see the ""chaos dimension,"" only images of people getting horribly killed aboard the Event Horizon.  So that leaves your imagination to decide what this dimension really looks like.SOUNDTRACK:For the most part, the soundtrack is magnificent; it perfectly fuses hard techno beats with chilling classical orchestra melodies.  The weird combination perfectly suits the movie.  The only music track I hated was the one at the very end by The Prodigies called ""Funky S***,"" it sounds bad and fits nowhere in the movie, even though it was only on the credits.EXTRAS:The current edition of Event Horizon has a second disk full of bonus features.  While these features aren't as abundant as say those in the T2:  Extreme Edition DVD set, they are worthwhile.  There's featurettes about the making of Event Horizon along with videos of concept art.  While I liked the conceptual drawings and 3D renderings provided in the DVD set, they could have added more and I would have preferred that each image was presented as a still frame rather than a video montage with commentary because with DVD programs like Cyberlink Power DVD that include ""snapshot"" features, I like to make ""snapshots"" of these art pieces so that I can quickly get ideas when I hit the drawing boards for my own creations.  Still, I enjoyed what I got in this area.  The ""making of"" featurettes are a real treat, they show the numerous difficulties filming the movie and the neat props and filming techniques used to make this film possible.  After watching these, I wasn't too pleased at Paramount for terribly rushing Paul Anderson and his crew to finish Event Horizon at a certain deadline.  These corporate slimeballs would also force Anderson to cut out about 40 minutes of the original edition of the movie because test audiences were too freaked out by the level of violence in it.  Some scenes were put on the bonus disk, and while pretty satisfying to see, it's a shame that they couldn't be restored into the film itself.  However, given that Event Horizon came out before the DVD revolution and that Paramount wasn't too pleased by the film's poor performance in the box office, the uncut editions of the movie have been lost.  Infact, Anderson stated he had to go all over the world to find the lost footage included on the DVD.  In short, I can't blame Anderson for this shortcoming as the blame really belongs to Paramount for their unrealistic time demands and the wimpy test audiences for their squeamishness.  All in all, the bonus disk is a nice addition to the movie.CRITICISM:The only bad thing I can say about Event Horizon was the song played at the end credits, which I already stated under ""soundtracks.""  This is only noticeable flaw that I could find in this movie, but it doesn't really detract the quality of the film as a whole.  Apparently, a lot of people panned this movie for being too violent and scary.  That's mind-bogglingly stupid; panning an R-rated sci-fi/horror movie for being scary and violent is like panning The Ren and Stimpy Show or The Simpsons for making people laugh.  For the people who didn't like the movie for these aspects, what were you expecting this to be?  A family film about Shaqulle O' Neal in space rapping and playing basketball with aliens?  Do your homework next time, there's ratings and content descriptions on the movie posters and DVD cases, READ THEM!!FINAL WORD:In Paul Anderson's filmography, Event Horizon is easily his crowning jewel.  It's really sad that he'd sink to such low levels in making such junk like Alien vs Predator and Resident Evil.  Event Horizon isn't a movie for everyone, but if you want a movie that will give you nightmares and weird things to discuss with fellow cinema buffs, Event Horizon will reward you greatly. ANSWERNOTFOUND",Does the costume design great?,1613,"{'text': ['despite'], 'answer_start': [426]}"
